Event,Date,White,Black,Result,BlackElo,WhiteElo,ECO
Rated Blitz game,2019.08.19,djorfchess20,Maerceci,1-0,1873,1939,C15
Rated Blitz game,2019.08.19,Maerceci,HiromiAsato,0-1,1790,1882,D93
Rated Blitz game,2019.08.19,benbb,Maerceci,1-0,1892,1720,C00
Rated Blitz game,2019.08.19,Maerceci,MMoraes2,1-0,1858,1886,D30
Rated Blitz game,2019.08.19,Maerceci,FWM_kendrickesban,0-1,1979,1891,E60
Rated Blitz game,2019.08.19,MarceticSRB,Maerceci,1-0,1898,1877,D00
Rated Blitz game,2019.08.19,rodnojo,Maerceci,1-0,1905,1930,C00
Rated Bullet game,2019.08.19,Stradivari2,Maerceci,0-1,1910,1879,C07
Rated Bullet game,2019.08.19,Maerceci,alpaydurul,1-0,1925,1902,D07
Rated Rapid game,2019.08.19,njunga,Maerceci,1-0,1803,1902,C00
Rated Rapid game,2019.08.19,Maerceci,Sanmisongz,1-0,1795,1765,A43
Rated Rapid game,2019.08.18,CJ216,Maerceci,0-1,1727,1719,C02
Rated Rapid game,2019.08.18,Maerceci,alex_tc6,0-1,1822,1762,D14
Rated Rapid game,2019.08.18,Maerceci,Gyisus,0-1,1778,1813,D30
Rated Rapid game,2019.08.18,Kameruni84,Maerceci,1-0,1853,1948,C01
Rated Rapid game,2019.08.18,Maerceci,FKasai,1-0,1795,1786,E10
Casual Rapid game,2019.08.18,Ru4eek,Maerceci,0-1,1786,1632,C15
Rated Rapid game,2019.08.17,Maerceci,lianki98,0-1,1810,1877,E12
Rated Rapid game,2019.08.16,carlosleiva,Maerceci,0-1,1793,1735,C08
Rated Bullet game,2019.08.16,Maerceci,fiisher,0-1,1926,1909,E11
Rated Bullet game,2019.08.16,kir_chess,Maerceci,0-1,1901,1902,E06
Rated Bullet game,2019.08.16,jhon_star,Maerceci,0-1,1894,1885,C02
Rated Bullet game,2019.08.16,Maerceci,jhon_star,1-0,1892,1887,D30
Rated Bullet game,2019.08.16,jhon_star,Maerceci,0-1,1880,1900,C02
Rated Bullet game,2019.08.16,Maerceci,jhon_star,1-0,1907,1872,D30
Rated Bullet game,2019.08.16,jhon_star,Maerceci,0-1,1864,1915,C02
Rated Bullet game,2019.08.16,Maerceci,jhon_star,0-1,1909,1870,D30
Rated Bullet game,2019.08.16,PiecesExterminator,Maerceci,0-1,1864,1789,D58
Rated Bullet game,2019.08.16,Maerceci,know_your_moves,0-1,1872,1871,A40
Rated Bullet game,2019.08.16,Maerceci,ghitik,0-1,1837,1879,A40
Rated Bullet game,2019.08.16,kir_chess,Maerceci,1-0,1885,1928,A11
Rated Bullet game,2019.08.16,Maerceci,natsirk,0-1,1872,1892,A40
Rated Bullet game,2019.08.16,beejaeger,Maerceci,1-0,1900,1875,D35
Rated Bullet game,2019.08.16,Maerceci,gaussdos,1-0,1768,1895,A40
Rated Bullet game,2019.08.16,iradjkamali,Maerceci,0-1,1888,1881,D01
Rated Bullet game,2019.08.16,Bakarelli,Maerceci,1-0,1895,1878,D05
Rated Bullet game,2019.08.16,Maerceci,Bakarelli,0-1,1870,1903,B06
Rated Bullet game,2019.08.16,Bakarelli,Maerceci,0-1,1896,1877,D05
Rated Bullet game,2019.08.16,Maerceci,Bakarelli,1-0,1884,1889,E21
Rated Bullet game,2019.08.16,Maerceci,IBattousaiI,1-0,1810,1884,D55
Rated Bullet game,2019.08.16,laperla,Maerceci,1-0,1889,1995,C10
Rated Bullet game,2019.08.16,Spiritualite,Maerceci,0-1,1884,1745,C00
Rated Bullet game,2019.08.16,Maerceci,tejasarora,1-0,1846,1878,A43
Rated Bullet game,2019.08.16,Sambozzy,Maerceci,0-1,1873,1748,A00
Rated Bullet game,2019.08.16,Maerceci,kadir2772,1-0,1898,1865,A40
Rated Bullet game,2019.08.16,Corwin777,Maerceci,0-1,1859,1803,D00
Hourly HyperBullet Arena,2019.08.15,Maerceci,Pandoro03,1-0,1700,1855,D11
Hourly HyperBullet Arena,2019.08.15,forekazik,Maerceci,1-0,1859,2006,D37
Hourly HyperBullet Arena,2019.08.15,kabirsihag12,Maerceci,0-1,1856,1654,C00
Hourly HyperBullet Arena,2019.08.15,Maerceci,KeithCar,1-0,1502,1854,A50
Hourly HyperBullet Arena,2019.08.15,Maerceci,Woywoy,1-0,1651,1850,D20
Hourly HyperBullet Arena,2019.08.15,Maerceci,matto-matto,1-0,1371,1849,D06
Hourly HyperBullet Arena,2019.08.15,Ageless1,Maerceci,1-0,1853,2008,C01
Hourly HyperBullet Arena,2019.08.15,Sehya,Maerceci,1-0,1861,1833,C03
Hourly HyperBullet Arena,2019.08.15,Maerceci,XeRo13g,0-1,2259,1862,A40
Hourly HyperBullet Arena,2019.08.15,bestCHESS1,Maerceci,1-0,1867,1981,A00
